Scenario,AI size,Level reached,Hitpoints
Test02,20,6,0
Test02,20,6,0
Test02,20,6,0
Test02,20,6,0
Test02,20,6,0
Test02,20,6,0
Test02,20,6,0
Test02,20,5,0
Test02,20,6,0
Test02,20,7,0
Test02,20,6,0
Test02,20,5,0
Test02,20,5,0
Test02,20,7,0
Test02,20,6,0
Test02,20,7,0
Test02,20,6,0
Test02,20,5,0
Test02,20,6,0
Test02,20,6,0
Test02,20,6,0
Test02,20,6,0
Test02,20,6,0
Test03,10,4,0
Test03,10,4,0
Test03,10,5,0
Test03,10,4,0
Test03,10,4,0
Test03,10,4,0
Test03,10,4,0
Test03,10,4,0
Test03,10,4,0
Test03,10,5,0
Test03,10,4,0
Test03,10,4,0
Test03,10,5,0
Test03,10,5,0
Test03,10,4,0
Test03,10,4,0
Test03,10,4,0
Test03,10,5,0
Test03,10,4,0
Test03,10,4,0
Test03,10,6,0
Test03,10,4,0
Test03,10,5,0
Test03,10,4,0
Test03,10,4,0
Test03,10,3,0
Test03,10,4,0
Test03,10,5,0
Test03,10,5,0
Test03,10,5,0
Test03,10,5,0
Test03,10,5,0
Test03,10,4,0
Test03,10,4,0
Test03,10,4,0
Test03,10,4,0
Test03,10,3,0
Test03,10,4,0
Test03,10,3,0
Test03,10,5,0
Test03,10,4,0
Test03,10,4,0
Test03,10,4,0
Test03,10,4,0
Test03,10,4,0
Test03,10,4,0
Test03,10,5,0
Test03,10,5,0
Test03,10,5,0
Test03,10,4,0
Test03,15,4,0
Test03,15,4,0
Test03,15,5,0
Test03,15,4,0
Test03,15,4,0
Test03,15,5,0
Test03,15,5,0
Test03,15,5,0
Test03,15,5,0
Test03,15,4,0
Test03,15,4,0
Test03,15,5,0
Test03,15,5,0
Test03,15,5,0
Test03,15,5,0
Test03,15,4,0
Test03,15,5,0
Test03,15,4,0
Test03,15,4,0
Test03,15,4,0
Test03,15,4,0
Test03,15,4,0
Test03,15,5,0
Test03,15,4,0
Test03,15,3,0
Test03,15,4,0
Test03,15,4,0
Test03,15,4,0
Test03,15,5,0
Test03,15,5,0
Test03,15,4,0
Test03,15,4,0
Test03,15,5,0
Test03,15,4,0
Test03,15,5,0
Test03,15,4,0
Test03,15,4,0
Test03,15,4,0
Test03,15,5,0
Test03,15,4,0
Test03,15,5,0
Test03,15,3,0
Test03,15,6,0
Test03,15,3,0
Test03,15,4,0
Test03,15,4,0
Test03,15,5,0
Test03,15,4,0
Test03,15,4,0
Test03,15,4,0
Test03,20,4,0
Test03,20,4,0
Test03,20,4,0
Test03,20,4,0
Test03,20,4,0
Test03,20,4,0
Test03,20,5,0
Test03,20,4,0
Test03,20,4,0
Test03,20,6,0
Test03,20,5,0
Test03,20,5,0
Test03,20,5,0
Test03,20,5,0
Test03,20,5,0
Test03,20,4,0
Test03,20,4,0
Test03,20,4,0
Test03,20,5,0
Test03,20,4,0
Test03,20,5,0
Test03,20,4,0
Test03,20,4,0
Test03,20,4,0
Test03,20,4,0
Test03,20,4,0
Test03,20,4,0
Test03,20,6,0
Test03,20,4,0
Test03,20,5,0
Test03,20,4,0
Test03,20,5,0
Test03,20,5,0
Test03,20,5,0
Test03,20,4,0
Test03,20,4,0
Test03,20,5,0
Test03,20,6,0
Test03,20,5,0
Test03,20,4,0
Test03,20,5,0
Test03,20,4,0
Test03,20,5,0
Test03,20,4,0
Test03,20,5,0
Test03,20,4,0
Test03,20,5,0
Test03,20,5,0
Test03,20,4,0
Test03,20,4,0
